"말레이시아",3,47129690,2,10266490,-,-,0,0,1,1254000,4,10242290,1,48713040,2,44187440,2,62142750,2,8973470,1,25058830,1,223700,-,-,12,256004080,25,326544980,28,625343490,22,343418150,23,342847150
"몽골",140,1944924540,144,1982735560,230,2503193010,284,3107464400,294,3130927460,277,3278343360,246,2127229920,214,2474330830,205,1768455250,170,1977649160,125,1180056000,130,1648409460,133,1666442670,142,2013855240,155,2391222220,195,2991517050,214,3484034660,221,3480270150
"모로코",2,12619110,2,9503730,2,34006270,2,40768570,2,78531680,2,2399600,0,0,1,1630090,1,10565570,2,11669790,1,7966910,3,4720960,6,45677300,4,38396090,4,23526510,11,75247280,13,127560850,11,132428760
"미얀마",30,257723940,28,234588210,28,344264250,38,540066740,34,334240460,24,380076180,39,518161530,41,392545300,92,860569450,108,1112106680,105,1089572750,165,1496159870,169,1838339730,173,1860189770,240,3475429370,285,4209980150,297,2961986110,251,2449743310
"네팔",74,597393480,83,674228610,81,876098070,62,651111180,57,521421690,96,1238198300,119,1248554330,171,1734782040,223,2086028110,245,2852271810,274,2498384460,341,3671404600,354,3363923090,379,4719279420,450,5918972330,495,6057813220,530,7492043940,520,6734354470
"나이지리아",12,192786900,23,235992310,11,109936750,2,23951830,8,115044520,13,136807340,7,134861940,6,140883360,3,46418390,6,85240250,10,103922740,14,116369250,13,232408900,14,188262310,16,194822200,20,220861750,16,248544050,18,224906400
"파키스탄",181,1729817890,194,1702777770,202,1801973160,208,2029164320,176,1844853070,215,1793254820,227,2118990240,237,2015031610,207,2256834510,177,1574834680,157,1247756990,162,1645051930,139,1401730390,159,1624383040,181,2158235110,204,2364370840,213,2864043720,225,2996993930
"페루",8,103043210,3,9107160,4,47659450,2,47958900,2,9767830,1,4250730,0,0,0,0,1,95279180,0,0,0,0,0,0,1,21416630,1,1520180,1,5912610,2,12026970,3,10464360,3,18711720
"필리핀",160,1489341760,158,1712010070,276,2497564120,342,3282980990,311,3128767570,269,2249280690,232,2187537490,248,2599177790,194,2068785330,150,1310894270,156,1657373270,197,1917856900,193,2084476810,214,2511085120,259,2781358050,247,3230902920,241,3532154760,240,2992165540
"러시아",95,1190454320,71,1249328780,49,738348130,37,539257900,18,279466110,20,315012360,25,413275730,33,520520330,22,322909270,17,98653260,33,642050110,24,204915040,92,1225383140,126,1639319050,169,2332203380,235,4350351260,287,4917590410,328,5062910020
"스리랑카",82,912560750,117,989373280,228,2319140520,253,2600449240,280,2500575380,379,3538074150,383,4061923150,423,4564249430,444,4881784940,405,4349661590,397,4765215150,370,3963081870,330,3758272630,353,3859387220,328,4235492250,331,4819672490,329,4903693070,309,4726495640
"대만",9,28295390,6,111980290,16,105217730,16,104090160,9,80056070,39,277256150,33,241670880,28,280983050,24,327234810,35,274947910,33,302745030,40,353073160,32,402136740,37,312421820,43,493297830,49,538596430,60,748197560,66,525705880
"태국",157,1545457820,156,1696679710,248,2193264030,299,2527654880,323,3033093340,302,2844977870,260,2808776720,236,2861986510,212,2750172300,180,2431361060,224,3178389010,256,4089643750,212,3341039020,227,3012693660,285,4886923260,337,5826548440,373,6795647980,350,8393530120
"우즈베키스탄",168,1630969140,172,1964580600,158,1718658800,172,1981328610,198,2323270940,249,2852820610,268,2995855230,368,4600833930,398,4586870760,384,4437324890,399,4611509560,445,5616767440,417,5524782760,443,5730891340,478,8022564990,550,8430045870,629,9709848110,717,10816965050
"베트남",251,1974110420,271,2417784300,499,5039726670,628,6413182410,662,6112978550,797,7843127160,866,8811510590,919,9665906840,831,9517364780,643,8995708510,568,6717074640,518,6669608020,475,6050937440,506,6584767400,504,8150994670,556,9305970390,638,9759403050,677,12821620750
"기타",167,1602725580,192,1814049000,314,3634531370,808,11875580380,2822,40425721608,134,1169138040,196,2195877040,260,3295498110,308,3216881880,359,4008540210,403,4670543370,459,4272626480,441,4694234350,482,5974687000,582,7635341610,728,11056858260,842,13567425240,915,13014173140
