"연말정산신고현황별(1)",연말정산신고현황별(2),2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
"연말정산신고현황별(1)",연말정산신고현황별(2),합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%,합계,합계,총지급액 상위 10%,총지급액 상위 10%
"연말정산신고현황별(1)",연말정산신고현황별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"국민연금보험료",소계,126362,78595,21420,27108,142575,86924,22332,28383,173189,104965,23416,28223,210463,135627,27280,35655,224346,155861,27976,40424,232026,172038,27629,42753,271249,210551,28831,46327,298909,237273,31364,51432,310698,256116,32820,54654,305793,274050,33908,58759,314165,294297,35619,64577,323682,326960,37937,72881,298502,332001,35202,72044,280926,327490,32803,71045
"연금보험료 공제(국민연금 제외)",소계,4632,7298,3267,6286,5609,9044,4033,7880,5686,9948,4169,8624,6413,13712,4499,11713,6717,17165,4680,14615,6847,18443,4657,15365,6909,18648,4376,15061,6497,18572,4250,15117,6231,20822,4057,16910,5927,21731,3779,17301,5817,22905,3554,17668,5545,23039,3294,17500,5459,24136,3171,18028,5480,24629,2894,17248
"연금계좌소득공제",소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3682,9912,3106,8796,**,**,**,**,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연금계좌소득공제",퇴직연금,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,157,240,113,223,**,**,**,**,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연금계좌소득공제",연금저축,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3539,9672,3007,8573,**,**,**,**,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"퇴직연금 소득공제",소계,33,54,20,40,51,73,28,58,42,70,30,62,64,126,55,119,135,182,108,167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별 공제",소계,15755,66752,14204,64005,18647,81080,16523,77167,20347,74073,16743,66876,27744,92236,21706,80256,36973,111011,26512,91103,47708,135116,29771,102530,67426,94726,34638,68809,81356,110756,38410,73667,103604,134622,40684,77451,128620,164810,42722,82815,157256,206634,46730,94060,183001,267318,49940,120017,197815,308130,46666,126551,223054,386030,43117,140862
"특별 공제",보험료,15476,36519,13946,34856,18409,45244,16295,42837,20220,41537,16637,37423,27570,54692,21566,47607,36792,69856,26364,57055,47468,88524,29574,65869,67401,91936,34617,66371,81346,109499,38404,72625,103595,132108,40682,75758,128615,164487,42718,82566,157256,206523,46730,93990,183000,267237,49939,119962,197815,308057,46666,126502,223045,367875,43116,133331
"특별 공제",의료비,3270,7150,2810,6669,3978,8626,3317,7865,3774,7395,2617,5963,5047,9186,3136,6760,6702,11709,3692,7798,8153,13794,3809,8120,**,**,**,**,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별 공제",교육비,3441,12516,3273,12187,3598,16133,3370,15631,3389,14479,2908,13335,3902,15587,3196,13831,4387,17053,3449,14833,5065,18638,3803,15511,**,**,**,**,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
